pv,tipo,empresa_informante,procedencia,procdet,geojson
BATEMT19-SVENTEOS-EFL001,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,EL MEDANITO,"{""type"":""Point"",""coordinates"":[-67.9595223240088,-38.0506446005991]}"
BATEMT18-SVENTEOS-EFL001,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,EL MEDANITO,"{""type"":""Point"",""coordinates"":[-67.9739929227032,-38.0366745293015]}"
BAT-SVN,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,Seccion Veintinueve,"{""type"":""Point"",""coordinates"":[-68.4964412959999,-53.361882818]}"
BAT-CP3,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,CaÃ±adon Piedras 3,"{""type"":""Point"",""coordinates"":[-68.465163444,-53.070216156]}"
Venteo Compresora CAN,FOSA DE QUEMA,VISTA OIL & GAS ARGENTINA SAU,PLANTA COMPRESORA,Compresora Coiron Amargo Norte,"{""type"":""Point"",""coordinates"":[-68.3253831861945,-38.2533425280771]}"
Venteo Pozo CANx-3,FOSA DE QUEMA,VISTA OIL & GAS ARGENTINA SAU,PLANTA COMPRESORA,Pozo CANx-3,"{""type"":""Point"",""coordinates"":[-68.286737509396,-38.2670964039731]}"
Venteo Bateria 2 Charco Bayo,FOSA DE QUEMA,VISTA OIL & GAS ARGENTINA SAU,PLANTA COMPRESORA,Bateria 2 Charco Bayo,"{""type"":""Point"",""coordinates"":[-68.1121137070478,-38.195851276714]}"
Venteo Bateria 1 Piedras Blancas,FOSA DE QUEMA,VISTA OIL & GAS ARGENTINA SAU,PLANTA COMPRESORA,Bateria 1 Piedras Blancas,"{""type"":""Point"",""coordinates"":[-68.1552426427465,-38.1555342020265]}"
BATFLM02-ANTORC  -FL01,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATERÃA 2 FILO MORADO,"{""type"":""Point"",""coordinates"":[-69.6743432443611,-37.3145248061835]}"
Venteo EMC11,CHIMENEA DE QUEMA,VISTA OIL & GAS ARGENTINA SAU,YACIMIENTO,Estacion Motocompresora 11,"{""type"":""Point"",""coordinates"":[-68.5264979997676,-38.2287799989685]}"
PCGCLS01-VENTEOS--RKO001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PTA COMPRESORA DE GAS CHLS1,"{""type"":""Point"",""coordinates"":[-69.5990378754123,-37.0245621805521]}"
PCGCLS01-SVENTEOS-TRKO003,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PTA COMPRESORA DE GAS EPN-1,"{""type"":""Point"",""coordinates"":[-69.6629763830606,-37.1425603891081]}"
Venteo S2BAPO,CHIMENEA DE QUEMA,VISTA OIL & GAS ARGENTINA SAU,YACIMIENTO,S2BAPO,"{""type"":""Point"",""coordinates"":[-68.6380245164,-38.220051352273]}"
EPC-PTGELP01-SVENTEOS-SB001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,GLP EL PORTON,"{""type"":""Point"",""coordinates"":[-69.6563726044496,-37.1538455941405]}"
Venteo PTCCB,CHIMENEA DE QUEMA,VISTA OIL & GAS ARGENTINA SAU,YACIMIENTO,Planta Tratamiento de Crudo,"{""type"":""Point"",""coordinates"":[-68.0823912280217,-38.2046695015103]}"
BATDBY02-SVENTEOS-SCTRL001,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,DESFILADERO BAYO,"{""type"":""Point"",""coordinates"":[-69.0514463614786,-37.3386960494288]}"
PRGPBD01-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PASO BARDA,"{""type"":""Point"",""coordinates"":[-69.5015436547238,-37.1871479806024]}"
BAT-LSN2,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,La Sara Norte,"{""type"":""Point"",""coordinates"":[-68.3659690109999,-53.3709661579999]}"
Venteo Desgasificador 1BMo,CHIMENEA DE QUEMA,VISTA OIL & GAS ARGENTINA SAU,YACIMIENTO,Bateria 1Borde Montuoso 1,"{""type"":""Point"",""coordinates"":[-68.5205214026022,-38.2219397557254]}"
BAT-SS3,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,San Sebastian 3,"{""type"":""Point"",""coordinates"":[-68.147746925,-53.349743917]}"
BAT-CP4,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,CaÃ±adon Piedras 4,"{""type"":""Point"",""coordinates"":[-68.522080167,-53.0110495129999]}"
OESTE-MZAS-GAS-BAT CF-3,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,CERRO FORTUNOSO,"{""type"":""Point"",""coordinates"":[-69.387771471,-36.2478600589999]}"
OESTE-MZAN-VENTEO BAT-10VIZ- Extraordinario,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,YACIMIENTO VIZCACHERAS - BATERIAS DE PRODUCCIÃN,"{""type"":""Point"",""coordinates"":[-68.4911061139999,-33.542693007]}"
OESTE-MZAN-VENTEO BAT-B-8,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,YACIMIENTO BARRANCAS - BATERIAS DE PRODUCCIÃN,"{""type"":""Point"",""coordinates"":[-68.782283809,-33.175905342]}"
RC-NRO-G-RNQ-PTGNQN01,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,RC-NRO-G-RNQ-PTGNQN01,"{""type"":""Point"",""coordinates"":[-68.1986272029999,-38.747707794]}"
RC-NRO-Y-RNQ-BATNQN02,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,RC-NRO-Y-RNQ-BATNQN02,"{""type"":""Point"",""coordinates"":[-68.1684192979999,-38.713921419]}"
Chimenea PM,CHIMENEA DE QUEMA,MADALENA ENERGY ARGENTINA SRL ,YACIMIENTO,PTC,"{""type"":""Point"",""coordinates"":[-67.7001327511929,-38.2496007042571]}"
OESTE-RDLS-ZA  P BARDA MZA VTO P BARDA MZA,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,PASO BARDA MENDOZA,"{""type"":""Point"",""coordinates"":[-69.4746602794335,-37.140874491115]}"
OESTE-ZV-BR-BATERIA  Venteo - EPn,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,BATERIA 1 PUESTO MOLINA,"{""type"":""Point"",""coordinates"":[-69.1553344817256,-37.2093802648054]}"
PILETA VENTEO BAT MDM,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,MALAL DEL MEDIO,"{""type"":""Point"",""coordinates"":[-69.6404610980011,-36.1401937353525]}"
OESTE-RDLS-ZA  PTO MOLINA MZA VTO P MOL MZA,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,PUESTO MOLINA COMPRESORA,"{""type"":""Point"",""coordinates"":[-69.1371929353823,-37.1755000045014]}"
OESTE-RDLS-ZA  D BAYO NQN VTO D BAYO ESTE NQN,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,DESFILADERO BAYO ESTE,"{""type"":""Point"",""coordinates"":[-68.9580972936166,-37.3205944640698]}"
PCGCLS01-VENTEOS--RKO002,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,COMPRESORA RINCON BLANCO,"{""type"":""Point"",""coordinates"":[-69.1758170906136,-37.1179979028145]}"
OESTE-RDLS-ZA-CAÃADON AMARILLO VTO CAM,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,CAÃADON AMARILLO,"{""type"":""Point"",""coordinates"":[-69.4205528469395,-36.960788950986]}"
OESTE-RDLS-ZA  D BAYO MZA VTO D BAYO MZA,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,DESFILADERO BAYO,"{""type"":""Point"",""coordinates"":[-69.0274967583862,-37.3353426306599]}"
OESTE-RDLS-CAT-SEÃAL CERRO BAYO VTO SCB,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,SEÃAL CERRO BAYO,"{""type"":""Point"",""coordinates"":[-68.7499999970695,-37.6977800018006]}"
