pv,tipo,empresa_informante,procedencia,procdet,geojson
PVMME-001,CHIMENEA DE QUEMA,MISAHAR ARGENTINA S.A.,YACIMIENTO,Yacimiento Mata Magallanes Este,"{""type"":""Point"",""coordinates"":[-69.9243634678372,-46.0235083919416]}"
BATANT04-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YSUR ENERGÍA ARGENTINA S.R.L.,YACIMIENTO,BAT ACS-GP,"{""type"":""Point"",""coordinates"":[-69.7054285655945,-39.0208719177194]}"
Complejo Gas,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Complejo Gas,"{""type"":""Point"",""coordinates"":[-68.0962599996533,-38.2080099995344]}"
Estacion Motocompresora 1,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Estacion Motocompresora 1,"{""type"":""Point"",""coordinates"":[-68.0759599995274,-38.2252000005231]}"
PV-1,CHIMENEA DE QUEMA,PETROLEOS SUDAMERICANOS S.A.,YACIMIENTO,Yac. Centro Este,"{""type"":""Point"",""coordinates"":[-68.0935655,-37.7367234]}"
FQ-BAT-RN.X-1004,FOSA DE QUEMA,AMERICAS PETROGAS ARGENTINA S.A.,PLANTA COMPRESORA,Bateria BAT-RN.X-1004,"{""type"":""Point"",""coordinates"":[-67.4577440382568,-38.2169969624397]}"
Antorcha EPF BdC,CHIMENEA DE QUEMA,EXXONMOBIL EXPLORATION ARGENTINA S.R.L.,YACIMIENTO,Inst. de ProducciÃ³n Temprana Bajo del Choique,"{""type"":""Point"",""coordinates"":[-69.141583,-37.713236]}"
Venteo de Lomita de la Costa,CHIMENEA DE QUEMA,TECPETROL S.A.,YACIMIENTO,Estación Compresora Lomita de la Costa,"{""type"":""Point"",""coordinates"":[-67.632226,-46.252748]}"
Estacion Motocompresora 2,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Estacion Motocompresora 2,"{""type"":""Point"",""coordinates"":[-68.1130099994569,-38.1959899999609]}"
Estacion Motocompresora 3,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Estacion Motocompresora 3,"{""type"":""Point"",""coordinates"":[-68.1552700007554,-38.1557500006266]}"
Estacion Motocompresora 4,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Estacion Motocompresora 4,"{""type"":""Point"",""coordinates"":[-68.2044199996301,-38.1248500002149]}"
BATANT06-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YSUR ENERGÍA ARGENTINA S.R.L.,YACIMIENTO,BAT BZ,"{""type"":""Point"",""coordinates"":[-69.8070414554632,-38.9826696355759]}"
Bateria 2 Piedras Blancas,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Bateria 2 Piedras Blancas,"{""type"":""Point"",""coordinates"":[-68.2031000004889,-38.1285200006321]}"
BATGUA03-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YSUR ENERGÍA ARGENTINA S.R.L.,YACIMIENTO,BAT GUA 03,"{""type"":""Point"",""coordinates"":[-69.2665372199938,-38.8597508567613]}"
Estacion Motocompresora 5,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Estacion Motocompresora 5,"{""type"":""Point"",""coordinates"":[-68.3458900009002,-37.9915900001803]}"
Bateria 1 Charco Bayo,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Bateria 1 Charco Bayo,"{""type"":""Point"",""coordinates"":[-68.0828199995266,-38.2121600003916]}"
Bateria 3 Charco Bayo,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Bateria 3 Charco Bayo,"{""type"":""Point"",""coordinates"":[-68.1332199992606,-38.1511000006245]}"
Bateria 4 Charco Bayo,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Bateria 4 Charco Bayo,"{""type"":""Point"",""coordinates"":[-68.0650200000706,-38.2313599996597]}"
Bateria 5 Charco Bayo,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Bateria 5 Charco Bayo,"{""type"":""Point"",""coordinates"":[-68.0919100001521,-38.2277200000069]}"
Bateria 6 Charco Bayo,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Bateria 6 Charco Bayo,"{""type"":""Point"",""coordinates"":[-68.1070900000613,-38.1803399993733]}"
Bateria 4 Piedras Blancas,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Bateria 4 Piedras Blancas,"{""type"":""Point"",""coordinates"":[-68.1801499995042,-38.1422100002089]}"
Antorcha PF LTE,CHIMENEA DE QUEMA,EXXONMOBIL EXPLORATION ARGENTINA S.R.L.,YACIMIENTO,Inst. de ProducciÃ³n Temprana LTE (LTIS-Este),"{""type"":""Point"",""coordinates"":[-69.267008,-37.713392]}"
Antorcha FV,CHIMENEA DE QUEMA,PETROFARO S.A.,YACIMIENTO,Planta Faro Vírgenes,"{""type"":""Point"",""coordinates"":[-68.4200830894487,-52.3881350078909]}"
Bateria 6 Piedras Blancas,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Bateria 6 Piedras Blancas,"{""type"":""Point"",""coordinates"":[-68.2225500002201,-38.1112500002741]}"
Bateria 7 Piedras Blancas,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Bateria 7 Piedras Blancas,"{""type"":""Point"",""coordinates"":[-68.1446899994566,-38.1752799998377]}"
BATNBA01-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YSUR ENERGÍA ARGENTINA S.R.L.,YACIMIENTO,BAT NBA 01,"{""type"":""Point"",""coordinates"":[-69.0177115212701,-38.8621829520746]}"
BATPES01-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YSUR ENERGÍA ARGENTINA S.R.L.,YACIMIENTO,BAT PES 01,"{""type"":""Point"",""coordinates"":[-69.0541921003965,-38.8563732758573]}"
PV-2,CHIMENEA DE QUEMA,PETROLEOS SUDAMERICANOS S.A.,YACIMIENTO,Yac. Centro Este,"{""type"":""Point"",""coordinates"":[-68.1018893,-37.7397963]}"
PV-3,CHIMENEA DE QUEMA,PETROLEOS SUDAMERICANOS S.A.,YACIMIENTO,Yac. Meseta Alta,"{""type"":""Point"",""coordinates"":[-68.0925471,-37.8098715]}"
Sin Dato120,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,SEÃAL PICADA,"{""type"":""Point"",""coordinates"":[-68.152584132152,-37.666808594541]}"
Antorcha USP ALL,CHIMENEA DE QUEMA,EXXONMOBIL EXPLORATION ARGENTINA S.R.L.,YACIMIENTO,USP Aguada Los Loros,"{""type"":""Point"",""coordinates"":[-69.425308,-37.726953]}"
Antorcha EPF PdY,CHIMENEA DE QUEMA,EXXONMOBIL EXPLORATION ARGENTINA S.R.L.,YACIMIENTO,PF Pampa de las Yeguas,"{""type"":""Point"",""coordinates"":[-69.338403,-37.802164]}"
PV-ESTANCIA DOS LAGUNAS,CHIMENEA DE QUEMA,ROCH S.A.,YACIMIENTO,CAMPO BREMEN,"{""type"":""Point"",""coordinates"":[-69.93701861,-50.77043063]}"
BATPTZ02-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YSUR ENERGÍA ARGENTINA S.R.L.,YACIMIENTO,BAT PTZ 03,"{""type"":""Point"",""coordinates"":[-69.4696163322501,-38.9443456700375]}"
BATRCO02-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YSUR ENERGÍA ARGENTINA S.R.L.,YACIMIENTO,BATRCO02,"{""type"":""Point"",""coordinates"":[-69.2290513397392,-39.0910246616184]}"
BATRCO01-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YSUR ENERGÍA ARGENTINA S.R.L.,YACIMIENTO,BATRCO01,"{""type"":""Point"",""coordinates"":[-69.0615418632527,-38.8254428601256]}"
PCGGUA01-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YSUR ENERGÍA ARGENTINA S.R.L.,YACIMIENTO,PCGGUA01,"{""type"":""Point"",""coordinates"":[-69.2304581833724,-38.8654153359338]}"
PTGRCO01-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YSUR ENERGÍA ARGENTINA S.R.L.,YACIMIENTO,PTGRCO01,"{""type"":""Point"",""coordinates"":[-69.2440396200468,-39.058675938594]}"
PTGPTZ01-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YSUR ENERGÍA ARGENTINA S.R.L.,YACIMIENTO,PTGPTZ01,"{""type"":""Point"",""coordinates"":[-69.5100280484711,-38.9970589171714]}"
Bat CP3,CHIMENEA DE QUEMA,PETROLERA LF COMPANY S.R.L.,YACIMIENTO,CaÃ±adon Piedras 3,"{""type"":""Point"",""coordinates"":[-68.4651666143507,-53.0702222001509]}"
Bat CP4,CHIMENEA DE QUEMA,PETROLERA LF COMPANY S.R.L.,YACIMIENTO,CaÃ±adon Piedras 4,"{""type"":""Point"",""coordinates"":[-68.5220833423041,-53.0110555550322]}"
Bateria 8 Piedras Blancas,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Bateria 8 Piedras Blancas,"{""type"":""Point"",""coordinates"":[-68.1655600001633,-38.1767300005143]}"
Bat CP6,FOSA DE QUEMA,PETROLERA LF COMPANY S.R.L.,PLANTA COMPRESORA,CaÃ±adon Piedras 6,"{""type"":""Point"",""coordinates"":[-68.481499970088,-53.0213611425617]}"
BATESA02-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YSUR ENERGÍA ARGENTINA S.R.L.,YACIMIENTO,EFO,"{""type"":""Point"",""coordinates"":[-67.8751753575706,-39.0094977847855]}"
PV-OCEANO,CHIMENEA DE QUEMA,ROCH S.A.,YACIMIENTO,OCEANO,"{""type"":""Point"",""coordinates"":[-68.81681002,-51.83615188]}"
Bateria 1 Entre Lomas,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Bateria 1 Entre Lomas,"{""type"":""Point"",""coordinates"":[-68.3231100003953,-38.019710000341]}"
Bateria 1 Lomas de Ocampo,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Bateria 1 Lomas de Ocampo,"{""type"":""Point"",""coordinates"":[-68.3745100004952,-37.9614100001466]}"
Bateria 1 El Caracol,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Bateria 1 El Caracol,"{""type"":""Point"",""coordinates"":[-68.4265000007208,-37.9000199997201]}"
Bateria 1 Borde Mocho,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Bateria 1 Borde Mocho,"{""type"":""Point"",""coordinates"":[-68.2770600001465,-38.1461400000746]}"
Estacion Motocompresora 7,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Estacion Motocompresora 7,"{""type"":""Point"",""coordinates"":[-68.2013100000886,-38.2598300003434]}"
Estacion Motocompresora 8,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Estacion Motocompresora 8,"{""type"":""Point"",""coordinates"":[-68.5182800005808,-38.2245399999335]}"
PTC El Indio Oeste,CHIMENEA DE QUEMA,ROCH S.A.,YACIMIENTO,El Indio Oeste,"{""type"":""Point"",""coordinates"":[-69.13149566,-51.46058039]}"
PTG Rio Chico,CHIMENEA DE QUEMA,ROCH S.A.,YACIMIENTO,Rio Chico,"{""type"":""Point"",""coordinates"":[-67.9629425,-53.67766968]}"
Punto Venteo 23,FOSA DE QUEMA,PETROQUIMICA COMODORO RIVADAVIA S.A.,PLANTA COMPRESORA,Bateria 23,"{""type"":""Point"",""coordinates"":[-69.485370825184,-34.9772647899935]}"
Punto Venteo 2,FOSA DE QUEMA,PETROQUIMICA COMODORO RIVADAVIA S.A.,PLANTA COMPRESORA,Planta de Tratamiento de Crudo El Sosneado,"{""type"":""Point"",""coordinates"":[-69.3950685158044,-35.0498618634852]}"
Bat CN2,CHIMENEA DE QUEMA,PETROLERA LF COMPANY S.R.L.,YACIMIENTO,Cabo Nombre 2,"{""type"":""Point"",""coordinates"":[-68.3293611111415,-52.997333332445]}"
Bateria 1 Charco del Palenque,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Bateria 1 Charco del Palenque,"{""type"":""Point"",""coordinates"":[-68.2040400000542,-38.260739999759]}"
Estacion Motocompresora 9,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Estacion Motocompresora 9,"{""type"":""Point"",""coordinates"":[-68.3370800000526,-38.1613000002177]}"
Planta de Acondicionamiento de Gas,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Planta Jarilla Quemada,"{""type"":""Point"",""coordinates"":[-67.9558300001966,-38.464130000188]}"
Bateria 2 Borde Montuoso,CHIMENEA DE QUEMA,PETROLERA ENTRE LOMAS S.A.,YACIMIENTO,Bateria 2 Borde Montuoso,"{""type"":""Point"",""coordinates"":[-68.5009999994952,-38.22549999966]}"
PV-ALTO DOS LAGUNAS,CHIMENEA DE QUEMA,ROCH S.A.,YACIMIENTO,CAMPO BREMEN,"{""type"":""Point"",""coordinates"":[-69.99292358,-50.79963345]}"
PV-CAMPO BREMEN,CHIMENEA DE QUEMA,ROCH S.A.,YACIMIENTO,CAMPO BREMEN,"{""type"":""Point"",""coordinates"":[-70.04278425,-50.83852738]}"
PV-CAMPO MOLINO,CHIMENEA DE QUEMA,ROCH S.A.,YACIMIENTO,CHORRILLOS,"{""type"":""Point"",""coordinates"":[-69.21624501,-52.00685822]}"
PV-CERRO CONVENTO,CHIMENEA DE QUEMA,ROCH S.A.,YACIMIENTO,CHORRILLOS,"{""type"":""Point"",""coordinates"":[-69.22765144,-51.89267806]}"
PV-CERRO NORTE,CHIMENEA DE QUEMA,ROCH S.A.,YACIMIENTO,CHORRILLOS,"{""type"":""Point"",""coordinates"":[-69.29993698,-51.86273119]}"
PV-CHORRILLOS,CHIMENEA DE QUEMA,ROCH S.A.,YACIMIENTO,CHORRILLOS,"{""type"":""Point"",""coordinates"":[-69.21632451,-51.94781077]}"
PV-EL INDIO OESTE,CHIMENEA DE QUEMA,ROCH S.A.,YACIMIENTO,MOY AIKE,"{""type"":""Point"",""coordinates"":[-69.46058039,-51.46058039]}"
PTG San Luis,CHIMENEA DE QUEMA,ROCH S.A.,YACIMIENTO,San Luis,"{""type"":""Point"",""coordinates"":[-67.63323712,-53.88862695]}"
Batería LP-1002,CHIMENEA DE QUEMA,ROCH S.A.,YACIMIENTO,LP-1002,"{""type"":""Point"",""coordinates"":[-68.059104,-53.6907113]}"
Batería LF-101,CHIMENEA DE QUEMA,ROCH S.A.,YACIMIENTO,LF-101,"{""type"":""Point"",""coordinates"":[-67.9734511,-53.7319443]}"
Batería LV-105,CHIMENEA DE QUEMA,ROCH S.A.,YACIMIENTO,LV-105,"{""type"":""Point"",""coordinates"":[-68.06154339,-53.50131839]}"
Batería LV-4,CHIMENEA DE QUEMA,ROCH S.A.,YACIMIENTO,LV-4,"{""type"":""Point"",""coordinates"":[-67.93661,-53.67373]}"
V_PFBAT-1,FOSA DE QUEMA,PRESIDENT PETROLEUM S.A.,PLANTA COMPRESORA,BaterÃ­a Puesto Flores,"{""type"":""Point"",""coordinates"":[-67.5076851178412,-38.6994903870234]}"
Chimenea de quema de PTC,CHIMENEA DE QUEMA,PETROBRAS ARGENTINA S.A.,YACIMIENTO,Barda las Vegas,"{""type"":""Point"",""coordinates"":[-70.4644775390625,-51.2421264648438]}"
FQ-BAT-EC,FOSA DE QUEMA,AMERICAS PETROGAS ARGENTINA S.A.,PLANTA COMPRESORA,Bateria EC,"{""type"":""Point"",""coordinates"":[-67.3974304734465,-38.1746430483834]}"
Antorcha AM-1,CHIMENEA DE QUEMA,ENAP SIPETROL ARGENTINA S.A.,YACIMIENTO,No se produce quema,"{""type"":""Point"",""coordinates"":[-68.3858,-52.5314]}"
Antorcha AM-2,CHIMENEA DE QUEMA,ENAP SIPETROL ARGENTINA S.A.,YACIMIENTO,AM-1; AM-2; AM-5 y AM-6,"{""type"":""Point"",""coordinates"":[-68.3127,-52.5491]}"
Venteo de planta Campo DurÃÂ¡n-New Point y CaptaciÃÂ³n,CHIMENEA DE QUEMA,TECPETROL S.A.,YACIMIENTO,Planta Campo Duran,"{""type"":""Point"",""coordinates"":[-63.829914,-22.564341]}"
Punto Venteo 1,CHIMENEA DE QUEMA,PETROQUIMICA COMODORO RIVADAVIA S.A.,YACIMIENTO,Planta Compresora Medanito,"{""type"":""Point"",""coordinates"":[-67.7778253072536,-38.0220524686458]}"
Antorcha AM-3,CHIMENEA DE QUEMA,ENAP SIPETROL ARGENTINA S.A.,YACIMIENTO,AM-2 y AM-3,"{""type"":""Point"",""coordinates"":[-68.2816,-52.5226]}"
CASO1,FOSA DE QUEMA,O&G DEVELOPMENTS LTD S.A.,PLANTA COMPRESORA,SHE.Nq.CASO.x-1(h),"{""type"":""Point"",""coordinates"":[-68.4786538018898,-38.4243370068047]}"
STk-PC-PC-303-001,CHIMENEA DE QUEMA,"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.",YACIMIENTO,PC-PC-303,"{""type"":""Point"",""coordinates"":[-68.6172002369999,-46.5470118409999]}"
STk-BAT-TP-104-001,CHIMENEA DE QUEMA,"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.",YACIMIENTO,BAT-TP-104,"{""type"":""Point"",""coordinates"":[-67.6806662419999,-46.5059675489999]}"
STk-EH-3189-001,CHIMENEA DE QUEMA,"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.",YACIMIENTO,EH-3189,"{""type"":""Point"",""coordinates"":[-68.1703622739999,-46.5203813709999]}"
STk-PC-PC2-001,CHIMENEA DE QUEMA,"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.",YACIMIENTO,PC-PC2,"{""type"":""Point"",""coordinates"":[-67.9394833179999,-46.6592226679999]}"
STk-PC-SPC-306-001,CHIMENEA DE QUEMA,"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.",YACIMIENTO,PC-SPC-306,"{""type"":""Point"",""coordinates"":[-68.6979523009999,-46.6433874429999]}"
STk-EH-3193-001,CHIMENEA DE QUEMA,"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.",YACIMIENTO,EH-3193,"{""type"":""Point"",""coordinates"":[-68.205749636,-46.6247713339999]}"
FQ-PG-EH-UGA-001,FOSA DE QUEMA,"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.",PLANTA COMPRESORA,PG-EH-UGA,"{""type"":""Point"",""coordinates"":[-68.0906141919999,-46.6415750369999]}"
FQ-ColAux-EH-3028-001,FOSA DE QUEMA,"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.",PLANTA COMPRESORA,ColAux-EH-3028,"{""type"":""Point"",""coordinates"":[-68.0715149289999,-46.626109379]}"
PV-CAN-3,FOSA DE QUEMA,ROCH S.A.,PLANTA COMPRESORA,COIRON AMARGO,"{""type"":""Point"",""coordinates"":[-68.28775,-38.26719]}"
FQ-BAT-EHa-4270-001,FOSA DE QUEMA,"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.",PLANTA COMPRESORA,BAT-EHa-4270,"{""type"":""Point"",""coordinates"":[-68.2686798809999,-46.5201877929999]}"
FQ-PC-PC1-001,FOSA DE QUEMA,"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.",PLANTA COMPRESORA,PC-PC1,"{""type"":""Point"",""coordinates"":[-67.6142784439999,-46.5394522129999]}"
Chimenea de quema de PTG,CHIMENEA DE QUEMA,PETROBRAS ARGENTINA S.A.,YACIMIENTO,Barda las Vegas,"{""type"":""Point"",""coordinates"":[-70.4771118164062,-51.242919921875]}"
Chimenea de quema de PTG,CHIMENEA DE QUEMA,PETROBRAS ARGENTINA S.A.,YACIMIENTO,Campo Bola,"{""type"":""Point"",""coordinates"":[-69.7611083984375,-50.580810546875]}"
Chimenea de quema de PTC,CHIMENEA DE QUEMA,PETROBRAS ARGENTINA S.A.,YACIMIENTO,Campo Boleadoras,"{""type"":""Point"",""coordinates"":[-70.7758178710938,-50.793701171875]}"
Chimena de quema Bat CBoW,CHIMENEA DE QUEMA,PETROBRAS ARGENTINA S.A.,YACIMIENTO,Campo Boleadoras,"{""type"":""Point"",""coordinates"":[-70.77880859375,-50.7877197265625]}"
Chimenea de quema Bat 2 CBoW,CHIMENEA DE QUEMA,PETROBRAS ARGENTINA S.A.,YACIMIENTO,Santa Cruz I - Fraccion A,"{""type"":""Point"",""coordinates"":[-70.8400268554688,-50.7647094726562]}"
Chimenea de quema PTC CHA,CHIMENEA DE QUEMA,PETROBRAS ARGENTINA S.A.,YACIMIENTO,Santa Cruz II - Fraccion A,"{""type"":""Point"",""coordinates"":[-69.3001098632812,-51.7210083007812]}"
FQ-BAT-MEN-506-001,FOSA DE QUEMA,"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.",PLANTA COMPRESORA,BAT-MEN-506,"{""type"":""Point"",""coordinates"":[-67.9636966139999,-46.5468002689999]}"
FQ-BAT-PCA-2123-001,FOSA DE QUEMA,"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.",PLANTA COMPRESORA,BAT-PCA-2123,"{""type"":""Point"",""coordinates"":[-68.691927501,-46.6123363229999]}"
FQ-BAT-EH-136-001,FOSA DE QUEMA,"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.",PLANTA COMPRESORA,BAT-EH-136,"{""type"":""Point"",""coordinates"":[-68.100738782,-46.6407045799999]}"
FQ-BAT-EH-180-001,FOSA DE QUEMA,"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.",PLANTA COMPRESORA,BAT-EH-180,"{""type"":""Point"",""coordinates"":[-68.1039108529999,-46.5588612739999]}"
FQ-BAT-ME-507-001,FOSA DE QUEMA,"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.",PLANTA COMPRESORA,BAT-ME-507,"{""type"":""Point"",""coordinates"":[-67.9330422639999,-46.6020347209999]}"
FQ-ColAux-TP-3045-001,FOSA DE QUEMA,"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.",PLANTA COMPRESORA,ColAux-TP-3045,"{""type"":""Point"",""coordinates"":[-67.9633668409999,-46.4942783559999]}"
FQ-BAT-TP-174-001,FOSA DE QUEMA,"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.",PLANTA COMPRESORA,BAT-TP-174,"{""type"":""Point"",""coordinates"":[-67.8636461339999,-46.4883326979999]}"
FQ-PC-PCB-001,FOSA DE QUEMA,"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.",PLANTA COMPRESORA,PC-PCB-2,"{""type"":""Point"",""coordinates"":[-68.2169018889999,-46.600578078]}"
FQ-PC-PCA-001,FOSA DE QUEMA,"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.",PLANTA COMPRESORA,PC-PCA,"{""type"":""Point"",""coordinates"":[-68.3426782749999,-46.567148588]}"
FQ-BAT-CS-22-001,FOSA DE QUEMA,"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.",PLANTA COMPRESORA,BAT-CS-22,"{""type"":""Point"",""coordinates"":[-67.5644056509999,-46.5289042659999]}"
FQ-BAT-ME-505-001,FOSA DE QUEMA,"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.",PLANTA COMPRESORA,BAT-ME-505,"{""type"":""Point"",""coordinates"":[-67.8832110689999,-46.5651804789999]}"
FQ-MENA-5001-001,FOSA DE QUEMA,"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.",PLANTA COMPRESORA,MENA-5001,"{""type"":""Point"",""coordinates"":[-68.0796055959999,-46.5426790699999]}"
FQ-BAT-EH-127-001,FOSA DE QUEMA,"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.",PLANTA COMPRESORA,BAT-EH-127,"{""type"":""Point"",""coordinates"":[-68.0964148929999,-46.6128342399999]}"
FQ-BAT-SPCA-1186-001,FOSA DE QUEMA,"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.",PLANTA COMPRESORA,BAT-SPCA-1186,"{""type"":""Point"",""coordinates"":[-68.7656948549999,-46.573271045]}"
FQ-BAT-EH-200-001,FOSA DE QUEMA,"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.",PLANTA COMPRESORA,BAT-EH-200,"{""type"":""Point"",""coordinates"":[-68.1472731039999,-46.5300320999999]}"
FQ-BAT-MEN-502-001,FOSA DE QUEMA,"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.",PLANTA COMPRESORA,BAT-MEN-502,"{""type"":""Point"",""coordinates"":[-67.9225815049999,-46.559251049]}"
FQ-BAT-SPC-1165-001,FOSA DE QUEMA,"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.",PLANTA COMPRESORA,BAT-SPC-1165,"{""type"":""Point"",""coordinates"":[-68.7543357709999,-46.5952471329999]}"
Venteo de Planta La Jarilla,CHIMENEA DE QUEMA,TECPETROL S.A.,YACIMIENTO,Planta La Jarilla,"{""type"":""Point"",""coordinates"":[-64.143016,-22.9324109999999]}"
FQ-BAT-ME-504-001,FOSA DE QUEMA,"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.",PLANTA COMPRESORA,BAT-ME-504,"{""type"":""Point"",""coordinates"":[-68.0120968789999,-46.6062603169999]}"
FQ-BAT-MEN-161-001,FOSA DE QUEMA,"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.",PLANTA COMPRESORA,BAT-MEN-161,"{""type"":""Point"",""coordinates"":[-68.0575277729999,-46.564533325]}"
FQ-BAT-SPC-1019-001,FOSA DE QUEMA,"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.",PLANTA COMPRESORA,BAT-SPC-1019,"{""type"":""Point"",""coordinates"":[-68.6996503989999,-46.6492698119999]}"
FQ-BAT-SPC-304-001,FOSA DE QUEMA,"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.",PLANTA COMPRESORA,BAT-SPC-304,"{""type"":""Point"",""coordinates"":[-68.7089222819999,-46.6262900439999]}"
FQ-PG-UME-001,FOSA DE QUEMA,"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.",PLANTA COMPRESORA,PG-UME,"{""type"":""Point"",""coordinates"":[-67.9735164179999,-46.5658716799999]}"
Venteo de bateria Porcelana,CHIMENEA DE QUEMA,TECPETROL S.A.,YACIMIENTO,Bateria Porcelana,"{""type"":""Point"",""coordinates"":[-64.113975,-22.8414]}"
Sin Dato91,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,CHIHUIDO DE LA SIERRA NEGRA,"{""type"":""Point"",""coordinates"":[-69.266406241255,-37.3301793188205]}"
FQ-BAT-ME-511-001,FOSA DE QUEMA,"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.",PLANTA COMPRESORA,BAT-ME-511,"{""type"":""Point"",""coordinates"":[-67.9695101139999,-46.6146301629999]}"
LR,CHIMENEA DE QUEMA,APACHE PETROLERA ARGENTINA S.A.,YACIMIENTO,LR,"{""type"":""Point"",""coordinates"":[-67.8625774136832,-38.1691588715095]}"
ES,CHIMENEA DE QUEMA,APACHE PETROLERA ARGENTINA S.A.,YACIMIENTO,ES,"{""type"":""Point"",""coordinates"":[-68.0329266262043,-38.1541273807026]}"
